id,text_snippet,labels
77,I'm not sure if data pipeline solves our use case. We're still evaluating.,Objection
78,"We like your product, but CompetitorY offers better remote monitoring. I'm not sure if automation solves our use case. We're still evaluating.","Competition, Objection"
79,"We like your product, but TechCorp offers better AI engine. Is your solution privacy policy? Our team is concerned about compliance. I'm not sure if AI engine solves our use case. We're still evaluating.",rand
80,I'm not sure if data pipeline solves our use case. We're still evaluating.,Objection
81,I'm not sure if automation solves our use case. We're still evaluating.,Objection
82,"We like your product, but CompetitorY offers better analytics. The automation looks great, but the discount is too high. Is your solution privacy policy? Our team is concerned about compliance.","Pricing Discussion, Competition, Security"
83,I'm not sure if AI engine solves our use case. We're still evaluating.,Objection
84,"We like your product, but MediPlus offers better data pipeline. The remote monitoring looks great, but the subscription cost is too high.",rand
85,"We like your product, but CompetitorX offers better data pipeline. The AI engine looks great, but the subscription cost is too high. I'm not sure if analytics solves our use case. We're still evaluating.","Pricing Discussion, Competition, Objection"
86,Is your solution privacy policy? Our team is concerned about compliance. I'm not sure if data pipeline solves our use case. We're still evaluating.,"Objection, Security"
87,"We like your product, but CompetitorX offers better analytics. The data pipeline looks great, but the pricing model is too high. Is your solution privacy policy? Our team is concerned about compliance.","Pricing Discussion, Competition, Security"
88,Is your solution encryption? Our team is concerned about compliance. I'm not sure if data pipeline solves our use case. We're still evaluating.,"Objection, Security"
89,"We like your product, but CompetitorY offers better data pipeline. The analytics looks great, but the budget is too high.",rand
90,Is your solution encryption? Our team is concerned about compliance. I'm not sure if automation solves our use case. We're still evaluating.,"Objection, Security"
91,"We like your product, but CompetitorZ offers better automation. The remote monitoring looks great, but the discount is too high.","Pricing Discussion, Competition"
92,"We like your product, but TechCorp offers better analytics. The AI engine looks great, but the budget is too high. I'm not sure if automation solves our use case. We're still evaluating.","Pricing Discussion, Competition, Objection"
93,I'm not sure if remote monitoring solves our use case. We're still evaluating.,rand
94,"We like your product, but CompetitorZ offers better AI engine. The analytics looks great, but the discount is too high. I'm not sure if automation solves our use case. We're still evaluating.",rand
95,"We like your product, but CompetitorZ offers better automation. I'm not sure if AI engine solves our use case. We're still evaluating.",rand
96,"The data pipeline looks great, but the discount is too high. Is your solution SOC2 certified? Our team is concerned about compliance.","Pricing Discussion, Security"
97,I'm not sure if analytics solves our use case. We're still evaluating.,Objection
98,"The automation looks great, but the budget is too high. Is your solution privacy policy? Our team is concerned about compliance.","Pricing Discussion, Security"
99,I'm not sure if analytics solves our use case. We're still evaluating.,rand
100,"We like your product, but MediPlus offers better AI engine. The data pipeline looks great, but the subscription cost is too high. Is your solution encryption? Our team is concerned about compliance.","Pricing Discussion, Competition, Security"
101,Is your solution encryption? Our team is concerned about compliance.,Security
102,I'm not sure if analytics solves our use case. We're still evaluating.,Objection
103,"The AI engine looks great, but the discount is too high.",Pricing Discussion
104,"The remote monitoring looks great, but the subscription cost is too high.",Pricing Discussion
105,"We like your product, but CompetitorX offers better data pipeline. The data pipeline looks great, but the budget is too high. I'm not sure if remote monitoring solves our use case. We're still evaluating.",rand
106,"We like your product, but TechCorp offers better remote monitoring. The automation looks great, but the pricing model is too high. Is your solution data compliance? Our team is concerned about compliance. I'm not sure if AI engine solves our use case. We're still evaluating.",rand
107,"We like your product, but CompetitorY offers better AI engine. Is your solution privacy policy? Our team is concerned about compliance. I'm not sure if data pipeline solves our use case. We're still evaluating.","Competition, Objection, Security"
108,"We like your product, but CompetitorZ offers better automation. The AI engine looks great, but the discount is too high. Is your solution privacy policy? Our team is concerned about compliance.","Pricing Discussion, Competition, Security"
109,"The remote monitoring looks great, but the subscription cost is too high.",rand
110,"The automation looks great, but the budget is too high. I'm not sure if remote monitoring solves our use case. We're still evaluating.","Pricing Discussion, Objection"
111,"We like your product, but TechCorp offers better automation. I'm not sure if AI engine solves our use case. We're still evaluating.","Competition, Objection"
112,"We like your product, but CompetitorZ offers better analytics. Is your solution privacy policy? Our team is concerned about compliance. I'm not sure if automation solves our use case. We're still evaluating.","Competition, Objection, Security"
113,"We like your product, but CompetitorY offers better remote monitoring. The AI engine looks great, but the discount is too high. Is your solution data compliance? Our team is concerned about compliance. I'm not sure if automation solves our use case. We're still evaluating.","Pricing Discussion, Competition, Objection, Security"
114,Is your solution encryption? Our team is concerned about compliance. I'm not sure if data pipeline solves our use case. We're still evaluating.,"Objection, Security"
115,"We like your product, but CompetitorX offers better AI engine. The automation looks great, but the discount is too high. Is your solution encryption? Our team is concerned about compliance.","Pricing Discussion, Competition, Security"
116,Is your solution encryption? Our team is concerned about compliance. I'm not sure if automation solves our use case. We're still evaluating.,"Objection, Security"
117,"We like your product, but CompetitorZ offers better analytics. Is your solution data compliance? Our team is concerned about compliance.","Competition, Security"
118,"We like your product, but CompetitorY offers better remote monitoring. Is your solution data compliance? Our team is concerned about compliance.","Competition, Security"
119,"We like your product, but CompetitorY offers better automation. I'm not sure if analytics solves our use case. We're still evaluating.","Competition, Objection"
120,"We like your product, but CompetitorZ offers better data pipeline. Is your solution SOC2 certified? Our team is concerned about compliance. I'm not sure if analytics solves our use case. We're still evaluating.","Competition, Objection, Security"
121,"We like your product, but CompetitorZ offers better data pipeline. The AI engine looks great, but the subscription cost is too high.","Pricing Discussion, Competition"
122,"The analytics looks great, but the budget is too high.",Pricing Discussion
123,"The automation looks great, but the budget is too high. Is your solution SOC2 certified? Our team is concerned about compliance. I'm not sure if automation solves our use case. We're still evaluating.","Pricing Discussion, Objection, Security"
124,"The automation looks great, but the pricing model is too high. Is your solution SOC2 certified? Our team is concerned about compliance. I'm not sure if analytics solves our use case. We're still evaluating.","Pricing Discussion, Objection, Security"
125,"The data pipeline looks great, but the discount is too high. Is your solution SOC2 certified? Our team is concerned about compliance. I'm not sure if data pipeline solves our use case. We're still evaluating.","Pricing Discussion, Objection, Security"
126,"The automation looks great, but the pricing model is too high. Is your solution privacy policy? Our team is concerned about compliance. I'm not sure if analytics solves our use case. We're still evaluating.",rand
127,Is your solution SOC2 certified? Our team is concerned about compliance.,rand
128,I'm not sure if automation solves our use case. We're still evaluating.,Objection
129,"We like your product, but CompetitorX offers better data pipeline. Is your solution encryption? Our team is concerned about compliance.","Competition, Security"
130,Is your solution data compliance? Our team is concerned about compliance. I'm not sure if data pipeline solves our use case. We're still evaluating.,"Objection, Security"
131,"We like your product, but MediPlus offers better analytics. Is your solution privacy policy? Our team is concerned about compliance. I'm not sure if analytics solves our use case. We're still evaluating.","Competition, Objection, Security"
132,Is your solution data compliance? Our team is concerned about compliance. I'm not sure if data pipeline solves our use case. We're still evaluating.,"Objection, Security"
133,"The analytics looks great, but the subscription cost is too high. Is your solution privacy policy? Our team is concerned about compliance.",rand
134,I'm not sure if data pipeline solves our use case. We're still evaluating.,Objection
135,I'm not sure if analytics solves our use case. We're still evaluating.,Objection
136,I'm not sure if automation solves our use case. We're still evaluating.,Objection
137,I'm not sure if remote monitoring solves our use case. We're still evaluating.,rand
138,"We like your product, but CompetitorZ offers better automation. Is your solution encryption? Our team is concerned about compliance.",rand
139,"We like your product, but CompetitorZ offers better remote monitoring. The data pipeline looks great, but the pricing model is too high.",rand
140,"We like your product, but CompetitorZ offers better data pipeline. Is your solution privacy policy? Our team is concerned about compliance.","Competition, Security"
141,"We like your product, but CompetitorX offers better remote monitoring. Is your solution privacy policy? Our team is concerned about compliance. I'm not sure if data pipeline solves our use case. We're still evaluating.","Competition, Objection, Security"
142,I'm not sure if analytics solves our use case. We're still evaluating.,Objection
143,"The automation looks great, but the budget is too high. I'm not sure if data pipeline solves our use case. We're still evaluating.","Pricing Discussion, Objection"
144,"We like your product, but CompetitorZ offers better automation. The automation looks great, but the discount is too high.","Pricing Discussion, Competition"
145,"The automation looks great, but the subscription cost is too high. Is your solution SOC2 certified? Our team is concerned about compliance. I'm not sure if automation solves our use case. We're still evaluating.","Pricing Discussion, Objection, Security"
146,"We like your product, but TechCorp offers better automation. I'm not sure if remote monitoring solves our use case. We're still evaluating.","Competition, Objection"
147,"The analytics looks great, but the pricing model is too high. Is your solution data compliance? Our team is concerned about compliance. I'm not sure if analytics solves our use case. We're still evaluating.","Pricing Discussion, Objection, Security"
148,"The analytics looks great, but the budget is too high.",Pricing Discussion
149,Is your solution encryption? Our team is concerned about compliance.,Security
150,"We like your product, but MediPlus offers better automation. The data pipeline looks great, but the budget is too high.","Pricing Discussion, Competition"
151,"We like your product, but CompetitorZ offers better remote monitoring.",Competition
152,"The data pipeline looks great, but the budget is too high. Is your solution SOC2 certified? Our team is concerned about compliance.","Pricing Discussion, Security"
153,"We like your product, but MediPlus offers better automation. Is your solution data compliance? Our team is concerned about compliance. I'm not sure if data pipeline solves our use case. We're still evaluating.","Competition, Objection, Security"
154,Is your solution encryption? Our team is concerned about compliance. I'm not sure if automation solves our use case. We're still evaluating.,"Objection, Security"
155,"We like your product, but CompetitorZ offers better automation. Is your solution privacy policy? Our team is concerned about compliance.","Competition, Security"
156,"The remote monitoring looks great, but the budget is too high.",Pricing Discussion
157,"We like your product, but CompetitorZ offers better AI engine.",rand
158,"We like your product, but CompetitorZ offers better AI engine.",Competition
159,"We like your product, but MediPlus offers better automation. I'm not sure if data pipeline solves our use case. We're still evaluating.",rand
160,I'm not sure if data pipeline solves our use case. We're still evaluating.,Objection
161,"The data pipeline looks great, but the discount is too high. I'm not sure if automation solves our use case. We're still evaluating.","Pricing Discussion, Objection"
162,"The automation looks great, but the subscription cost is too high. I'm not sure if analytics solves our use case. We're still evaluating.",rand
163,"We like your product, but TechCorp offers better data pipeline. I'm not sure if automation solves our use case. We're still evaluating.","Competition, Objection"
164,"The AI engine looks great, but the budget is too high. Is your solution SOC2 certified? Our team is concerned about compliance. I'm not sure if analytics solves our use case. We're still evaluating.",rand
165,I'm not sure if automation solves our use case. We're still evaluating.,Objection
166,"We like your product, but CompetitorX offers better data pipeline. The remote monitoring looks great, but the discount is too high. Is your solution privacy policy? Our team is concerned about compliance.","Pricing Discussion, Competition, Security"
167,Is your solution privacy policy? Our team is concerned about compliance.,Security
168,"The data pipeline looks great, but the budget is too high. Is your solution SOC2 certified? Our team is concerned about compliance. I'm not sure if automation solves our use case. We're still evaluating.","Pricing Discussion, Objection, Security"
169,"The AI engine looks great, but the budget is too high. Is your solution encryption? Our team is concerned about compliance.","Pricing Discussion, Security"
170,"We like your product, but MediPlus offers better AI engine. The analytics looks great, but the pricing model is too high. Is your solution privacy policy? Our team is concerned about compliance.","Pricing Discussion, Competition, Security"
171,"The AI engine looks great, but the pricing model is too high. I'm not sure if AI engine solves our use case. We're still evaluating.","Pricing Discussion, Objection"
172,"We like your product, but CompetitorY offers better remote monitoring. I'm not sure if AI engine solves our use case. We're still evaluating.","Competition, Objection"
173,Is your solution data compliance? Our team is concerned about compliance.,Security
174,"We like your product, but MediPlus offers better automation.",Competition
175,"We like your product, but CompetitorY offers better remote monitoring.",rand
176,I'm not sure if data pipeline solves our use case. We're still evaluating.,Objection
177,Is your solution data compliance? Our team is concerned about compliance.,Security
178,"The remote monitoring looks great, but the pricing model is too high. Is your solution encryption? Our team is concerned about compliance.","Pricing Discussion, Security"
179,Is your solution encryption? Our team is concerned about compliance. I'm not sure if analytics solves our use case. We're still evaluating.,"Objection, Security"
180,"We like your product, but CompetitorY offers better automation. The remote monitoring looks great, but the pricing model is too high. I'm not sure if data pipeline solves our use case. We're still evaluating.","Pricing Discussion, Competition, Objection"
181,"The analytics looks great, but the budget is too high. Is your solution encryption? Our team is concerned about compliance. I'm not sure if data pipeline solves our use case. We're still evaluating.","Pricing Discussion, Objection, Security"
182,"We like your product, but MediPlus offers better data pipeline.",Competition
183,Is your solution data compliance? Our team is concerned about compliance.,Security
184,Is your solution data compliance? Our team is concerned about compliance.,rand
185,Is your solution data compliance? Our team is concerned about compliance.,Security
186,"We like your product, but CompetitorZ offers better remote monitoring. The remote monitoring looks great, but the budget is too high. Is your solution encryption? Our team is concerned about compliance. I'm not sure if remote monitoring solves our use case. We're still evaluating.","Pricing Discussion, Competition, Objection, Security"
187,"We like your product, but TechCorp offers better analytics. The remote monitoring looks great, but the budget is too high. Is your solution encryption? Our team is concerned about compliance. I'm not sure if AI engine solves our use case. We're still evaluating.","Pricing Discussion, Competition, Objection, Security"
188,"We like your product, but TechCorp offers better analytics. The automation looks great, but the budget is too high. Is your solution SOC2 certified? Our team is concerned about compliance.","Pricing Discussion, Competition, Security"
189,I'm not sure if analytics solves our use case. We're still evaluating.,Objection
190,"We like your product, but TechCorp offers better remote monitoring. The analytics looks great, but the subscription cost is too high.","Pricing Discussion, Competition"
191,"The AI engine looks great, but the discount is too high. Is your solution SOC2 certified? Our team is concerned about compliance.","Pricing Discussion, Security"
192,"We like your product, but MediPlus offers better automation. Is your solution SOC2 certified? Our team is concerned about compliance. I'm not sure if remote monitoring solves our use case. We're still evaluating.",rand
193,"The remote monitoring looks great, but the pricing model is too high. I'm not sure if data pipeline solves our use case. We're still evaluating.","Pricing Discussion, Objection"
194,I'm not sure if data pipeline solves our use case. We're still evaluating.,Objection
195,"The AI engine looks great, but the budget is too high. Is your solution privacy policy? Our team is concerned about compliance.","Pricing Discussion, Security"
196,"We like your product, but CompetitorY offers better analytics. The automation looks great, but the budget is too high.","Pricing Discussion, Competition"
197,"The remote monitoring looks great, but the discount is too high.",Pricing Discussion
198,I'm not sure if automation solves our use case. We're still evaluating.,Objection
199,I'm not sure if automation solves our use case. We're still evaluating.,Objection
200,I'm not sure if analytics solves our use case. We're still evaluating.,Objection
201,"The data pipeline looks great, but the budget is too high. I'm not sure if data pipeline solves our use case. We're still evaluating.","Pricing Discussion, Objection"
202,"We like your product, but CompetitorY offers better data pipeline. The automation looks great, but the budget is too high. I'm not sure if data pipeline solves our use case. We're still evaluating.",rand
203,Is your solution privacy policy? Our team is concerned about compliance.,Security
204,"The analytics looks great, but the budget is too high. Is your solution privacy policy? Our team is concerned about compliance. I'm not sure if analytics solves our use case. We're still evaluating.","Pricing Discussion, Objection, Security"
205,Is your solution encryption? Our team is concerned about compliance. I'm not sure if AI engine solves our use case. We're still evaluating.,"Objection, Security"
206,"The data pipeline looks great, but the pricing model is too high. Is your solution data compliance? Our team is concerned about compliance.","Pricing Discussion, Security"
207,"We like your product, but CompetitorY offers better AI engine.",rand
208,"We like your product, but CompetitorZ offers better AI engine. The data pipeline looks great, but the discount is too high. I'm not sure if data pipeline solves our use case. We're still evaluating.","Pricing Discussion, Competition, Objection"
209,"We like your product, but TechCorp offers better remote monitoring. The analytics looks great, but the subscription cost is too high. Is your solution data compliance? Our team is concerned about compliance.",rand
210,"We like your product, but CompetitorZ offers better automation. The automation looks great, but the budget is too high.","Pricing Discussion, Competition"
211,I'm not sure if AI engine solves our use case. We're still evaluating.,Objection
212,"We like your product, but MediPlus offers better AI engine. The analytics looks great, but the discount is too high. I'm not sure if analytics solves our use case. We're still evaluating.","Pricing Discussion, Competition, Objection"
213,"The analytics looks great, but the subscription cost is too high.",Pricing Discussion
214,"The AI engine looks great, but the budget is too high.",Pricing Discussion
215,"We like your product, but CompetitorX offers better data pipeline. Is your solution encryption? Our team is concerned about compliance. I'm not sure if AI engine solves our use case. We're still evaluating.","Competition, Objection, Security"
216,"We like your product, but CompetitorX offers better AI engine. The AI engine looks great, but the subscription cost is too high.","Pricing Discussion, Competition"
217,Is your solution SOC2 certified? Our team is concerned about compliance. I'm not sure if AI engine solves our use case. We're still evaluating.,"Objection, Security"
218,"We like your product, but MediPlus offers better data pipeline. The analytics looks great, but the budget is too high. I'm not sure if remote monitoring solves our use case. We're still evaluating.","Pricing Discussion, Competition, Objection"
219,"We like your product, but CompetitorZ offers better data pipeline. I'm not sure if data pipeline solves our use case. We're still evaluating.","Competition, Objection"
220,"We like your product, but CompetitorX offers better remote monitoring. Is your solution privacy policy? Our team is concerned about compliance.","Competition, Security"
221,"We like your product, but TechCorp offers better remote monitoring. The automation looks great, but the discount is too high. Is your solution privacy policy? Our team is concerned about compliance. I'm not sure if automation solves our use case. We're still evaluating.",rand
222,Is your solution privacy policy? Our team is concerned about compliance.,Security
223,"We like your product, but TechCorp offers better automation. Is your solution privacy policy? Our team is concerned about compliance. I'm not sure if AI engine solves our use case. We're still evaluating.",rand
224,Is your solution data compliance? Our team is concerned about compliance. I'm not sure if data pipeline solves our use case. We're still evaluating.,"Objection, Security"
225,I'm not sure if automation solves our use case. We're still evaluating.,Objection
226,"We like your product, but CompetitorX offers better AI engine. Is your solution SOC2 certified? Our team is concerned about compliance. I'm not sure if automation solves our use case. We're still evaluating.",rand
227,Is your solution privacy policy? Our team is concerned about compliance.,Security
228,"We like your product, but MediPlus offers better analytics. The analytics looks great, but the pricing model is too high. Is your solution data compliance? Our team is concerned about compliance. I'm not sure if remote monitoring solves our use case. We're still evaluating.","Pricing Discussion, Competition, Objection, Security"
229,"The data pipeline looks great, but the discount is too high.",Pricing Discussion
230,"We like your product, but CompetitorX offers better automation. The AI engine looks great, but the budget is too high.","Pricing Discussion, Competition"
231,"The remote monitoring looks great, but the budget is too high. I'm not sure if analytics solves our use case. We're still evaluating.","Pricing Discussion, Objection"
232,"We like your product, but CompetitorZ offers better data pipeline. The remote monitoring looks great, but the budget is too high. Is your solution privacy policy? Our team is concerned about compliance.","Pricing Discussion, Competition, Security"
233,"We like your product, but CompetitorZ offers better analytics. The data pipeline looks great, but the pricing model is too high. I'm not sure if AI engine solves our use case. We're still evaluating.","Pricing Discussion, Competition, Objection"
234,"We like your product, but CompetitorY offers better automation. The automation looks great, but the subscription cost is too high.","Pricing Discussion, Competition"
235,"We like your product, but MediPlus offers better remote monitoring. I'm not sure if data pipeline solves our use case. We're still evaluating.","Competition, Objection"
236,I'm not sure if automation solves our use case. We're still evaluating.,Objection
237,I'm not sure if AI engine solves our use case. We're still evaluating.,rand
238,"We like your product, but CompetitorX offers better AI engine. The automation looks great, but the discount is too high. I'm not sure if data pipeline solves our use case. We're still evaluating.","Pricing Discussion, Competition, Objection"
239,"We like your product, but CompetitorZ offers better AI engine. I'm not sure if data pipeline solves our use case. We're still evaluating.","Competition, Objection"
240,"We like your product, but CompetitorY offers better data pipeline. The data pipeline looks great, but the budget is too high. I'm not sure if automation solves our use case. We're still evaluating.","Pricing Discussion, Competition, Objection"
241,"We like your product, but TechCorp offers better analytics. I'm not sure if remote monitoring solves our use case. We're still evaluating.","Competition, Objection"
242,"We like your product, but TechCorp offers better analytics. I'm not sure if automation solves our use case. We're still evaluating.","Competition, Objection"
243,"The AI engine looks great, but the budget is too high. Is your solution encryption? Our team is concerned about compliance.","Pricing Discussion, Security"
244,Is your solution data compliance? Our team is concerned about compliance.,Security
245,"The data pipeline looks great, but the discount is too high.",Pricing Discussion
246,"We like your product, but TechCorp offers better AI engine. Is your solution SOC2 certified? Our team is concerned about compliance. I'm not sure if analytics solves our use case. We're still evaluating.",rand
247,I'm not sure if automation solves our use case. We're still evaluating.,rand
