id,text_snippet,labels,preprocessed_text
12,"We like your product, but CompetitorY offers better remote monitoring. The automation looks great, but the discount is too high.","['Competition', 'Pricing Discussion']",like product competitory offer better remote monitoring automation look great discount high
13,"We like your product, but CompetitorY offers better automation. The automation looks great, but the subscription cost is too high. Is your solution encryption? Our team is concerned about compliance.","['Competition', 'Security', 'Pricing Discussion']",like product competitory offer better automation automation look great subscription cost high solution encryption team concerned compliance
14,"The data pipeline looks great, but the subscription cost is too high.",['Pricing Discussion'],data pipeline look great subscription cost high
15,I’m not sure if analytics solves our use case. We’re still evaluating.,['Objection'],im sure analytics solves use case still evaluating
16,"We like your product, but TechCorp offers better analytics. The analytics looks great, but the discount is too high. I’m not sure if AI engine solves our use case. We’re still evaluating.","['Competition', 'Objection', 'Pricing Discussion']",like product techcorp offer better analytics analytics look great discount high im sure ai engine solves use case still evaluating
17,Is your solution data compliance? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.,"['Objection', 'Security']",solution data compliance team concerned compliance im sure data pipeline solves use case still evaluating
18,"We like your product, but TechCorp offers better AI engine. I’m not sure if analytics solves our use case. We’re still evaluating.","['Competition', 'Objection']",like product techcorp offer better ai engine im sure analytics solves use case still evaluating
19,"The remote monitoring looks great, but the discount is too high.",['Pricing Discussion'],remote monitoring look great discount high
20,"We like your product, but CompetitorZ offers better automation. Is your solution SOC2 certified? Our team is concerned about compliance.","['Competition', 'Security']",like product competitorz offer better automation solution soc certified team concerned compliance
21,"We like your product, but CompetitorX offers better AI engine. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection']",like product competitorx offer better ai engine solution privacy policy team concerned compliance im sure ai engine solves use case still evaluating
22,"We like your product, but TechCorp offers better analytics. Is your solution SOC2 certified? Our team is concerned about compliance.","['Competition', 'Security']",like product techcorp offer better analytics solution soc certified team concerned compliance
23,I’m not sure if analytics solves our use case. We’re still evaluating.,['Objection'],im sure analytics solves use case still evaluating
24,"We like your product, but CompetitorX offers better remote monitoring. Is your solution SOC2 certified? Our team is concerned about compliance.","['Competition', 'Security']",like product competitorx offer better remote monitoring solution soc certified team concerned compliance
25,"We like your product, but MediPlus offers better automation. The automation looks great, but the budget is too high.","['Competition', 'Pricing Discussion']",like product mediplus offer better automation automation look great budget high
26,Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.,"['Objection', 'Security']",solution soc certified team concerned compliance im sure automation solves use case still evaluating
27,"We like your product, but CompetitorY offers better data pipeline. The remote monitoring looks great, but the budget is too high.","['Competition', 'Pricing Discussion']",like product competitory offer better data pipeline remote monitoring look great budget high
28,"The automation looks great, but the budget is too high.",['Pricing Discussion'],automation look great budget high
29,"We like your product, but CompetitorY offers better automation. The AI engine looks great, but the discount is too high. I’m not sure if analytics solves our use case. We’re still evaluating.","['Competition', 'Objection', 'Pricing Discussion']",like product competitory offer better automation ai engine look great discount high im sure analytics solves use case still evaluating
30,"We like your product, but CompetitorX offers better analytics. Is your solution privacy policy? Our team is concerned about compliance.","['Competition', 'Security']",like product competitorx offer better analytics solution privacy policy team concerned compliance
31,"The automation looks great, but the budget is too high. Is your solution data compliance? Our team is concerned about compliance.","['Security', 'Pricing Discussion']",automation look great budget high solution data compliance team concerned compliance
32,"The analytics looks great, but the subscription cost is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","['Objection', 'Security', 'Pricing Discussion']",analytics look great subscription cost high solution encryption team concerned compliance im sure data pipeline solves use case still evaluating
33,I’m not sure if analytics solves our use case. We’re still evaluating.,['Objection'],im sure analytics solves use case still evaluating
34,"We like your product, but MediPlus offers better AI engine. Is your solution privacy policy? Our team is concerned about compliance.","['Competition', 'Security']",like product mediplus offer better ai engine solution privacy policy team concerned compliance
35,"We like your product, but CompetitorX offers better automation. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","['Competition', 'Objection']",like product competitorx offer better automation im sure remote monitoring solves use case still evaluating
36,I’m not sure if AI engine solves our use case. We’re still evaluating.,['Objection'],im sure ai engine solves use case still evaluating
37,Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.,"['Objection', 'Security']",solution soc certified team concerned compliance im sure remote monitoring solves use case still evaluating
38,"We like your product, but CompetitorZ offers better remote monitoring. The analytics looks great, but the pricing model is too high.","['Competition', 'Pricing Discussion']",like product competitorz offer better remote monitoring analytics look great pricing model high
39,"The remote monitoring looks great, but the budget is too high. Is your solution encryption? Our team is concerned about compliance.","['Security', 'Pricing Discussion']",remote monitoring look great budget high solution encryption team concerned compliance
40,"We like your product, but MediPlus offers better automation. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection']",like product mediplus offer better automation solution data compliance team concerned compliance im sure ai engine solves use case still evaluating
41,I’m not sure if analytics solves our use case. We’re still evaluating.,['Objection'],im sure analytics solves use case still evaluating
42,"The data pipeline looks great, but the discount is too high. Is your solution encryption? Our team is concerned about compliance.","['Security', 'Pricing Discussion']",data pipeline look great discount high solution encryption team concerned compliance
43,"We like your product, but MediPlus offers better automation. I’m not sure if analytics solves our use case. We’re still evaluating.","['Competition', 'Objection']",like product mediplus offer better automation im sure analytics solves use case still evaluating
44,"We like your product, but TechCorp offers better remote monitoring.",['Competition'],like product techcorp offer better remote monitoring
45,I’m not sure if remote monitoring solves our use case. We’re still evaluating.,['Objection'],im sure remote monitoring solves use case still evaluating
46,I’m not sure if AI engine solves our use case. We’re still evaluating.,['Objection'],im sure ai engine solves use case still evaluating
47,"We like your product, but CompetitorY offers better analytics. The remote monitoring looks great, but the budget is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","['Competition', 'Objection', 'Pricing Discussion']",like product competitory offer better analytics remote monitoring look great budget high im sure data pipeline solves use case still evaluating
48,"We like your product, but MediPlus offers better analytics. The analytics looks great, but the pricing model is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","['Competition', 'Objection', 'Pricing Discussion']",like product mediplus offer better analytics analytics look great pricing model high im sure data pipeline solves use case still evaluating
49,"The automation looks great, but the discount is too high. I’m not sure if analytics solves our use case. We’re still evaluating.","['Objection', 'Pricing Discussion']",automation look great discount high im sure analytics solves use case still evaluating
50,"The automation looks great, but the pricing model is too high. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.","['Objection', 'Security', 'Pricing Discussion']",automation look great pricing model high solution privacy policy team concerned compliance im sure automation solves use case still evaluating
51,"The AI engine looks great, but the pricing model is too high. Is your solution data compliance? Our team is concerned about compliance.","['Security', 'Pricing Discussion']",ai engine look great pricing model high solution data compliance team concerned compliance
52,"The data pipeline looks great, but the pricing model is too high. Is your solution SOC2 certified? Our team is concerned about compliance.","['Security', 'Pricing Discussion']",data pipeline look great pricing model high solution soc certified team concerned compliance
53,"We like your product, but MediPlus offers better AI engine. The remote monitoring looks great, but the subscription cost is too high. I’m not sure if analytics solves our use case. We’re still evaluating.","['Competition', 'Objection', 'Pricing Discussion']",like product mediplus offer better ai engine remote monitoring look great subscription cost high im sure analytics solves use case still evaluating
54,I’m not sure if AI engine solves our use case. We’re still evaluating.,['Objection'],im sure ai engine solves use case still evaluating
55,Is your solution privacy policy? Our team is concerned about compliance.,['Security'],solution privacy policy team concerned compliance
56,"We like your product, but CompetitorY offers better analytics. The automation looks great, but the subscription cost is too high.","['Competition', 'Pricing Discussion']",like product competitory offer better analytics automation look great subscription cost high
57,I’m not sure if AI engine solves our use case. We’re still evaluating.,['Objection'],im sure ai engine solves use case still evaluating
58,"We like your product, but MediPlus offers better automation.",['Competition'],like product mediplus offer better automation
59,"We like your product, but CompetitorZ offers better analytics.",['Competition'],like product competitorz offer better analytics
60,"We like your product, but TechCorp offers better remote monitoring. The AI engine looks great, but the subscription cost is too high. Is your solution data compliance? Our team is concerned about compliance.","['Competition', 'Security', 'Pricing Discussion']",like product techcorp offer better remote monitoring ai engine look great subscription cost high solution data compliance team concerned compliance
61,"We like your product, but TechCorp offers better AI engine. The data pipeline looks great, but the subscription cost is too high. I’m not sure if AI engine solves our use case. We’re still evaluating.","['Competition', 'Objection', 'Pricing Discussion']",like product techcorp offer better ai engine data pipeline look great subscription cost high im sure ai engine solves use case still evaluating
62,"We like your product, but TechCorp offers better AI engine. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection']",like product techcorp offer better ai engine solution privacy policy team concerned compliance im sure remote monitoring solves use case still evaluating
63,"We like your product, but CompetitorZ offers better analytics. The analytics looks great, but the pricing model is too high.","['Competition', 'Pricing Discussion']",like product competitorz offer better analytics analytics look great pricing model high
64,Is your solution encryption? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.,"['Objection', 'Security']",solution encryption team concerned compliance im sure analytics solves use case still evaluating
65,"We like your product, but TechCorp offers better remote monitoring. The remote monitoring looks great, but the subscription cost is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","['Competition', 'Objection', 'Pricing Discussion']",like product techcorp offer better remote monitoring remote monitoring look great subscription cost high im sure data pipeline solves use case still evaluating
66,"We like your product, but CompetitorY offers better automation.",['Competition'],like product competitory offer better automation
67,"We like your product, but CompetitorX offers better automation. Is your solution data compliance? Our team is concerned about compliance.","['Competition', 'Security']",like product competitorx offer better automation solution data compliance team concerned compliance
68,"The analytics looks great, but the budget is too high.",['Pricing Discussion'],analytics look great budget high
69,"We like your product, but TechCorp offers better automation.",['Competition'],like product techcorp offer better automation
70,"The data pipeline looks great, but the discount is too high.",['Pricing Discussion'],data pipeline look great discount high
71,"We like your product, but CompetitorX offers better data pipeline. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","['Competition', 'Objection']",like product competitorx offer better data pipeline im sure remote monitoring solves use case still evaluating
72,Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.,"['Objection', 'Security']",solution privacy policy team concerned compliance im sure automation solves use case still evaluating
73,"The AI engine looks great, but the subscription cost is too high.",['Pricing Discussion'],ai engine look great subscription cost high
74,"We like your product, but MediPlus offers better automation. The data pipeline looks great, but the subscription cost is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","['Competition', 'Objection', 'Pricing Discussion']",like product mediplus offer better automation data pipeline look great subscription cost high im sure data pipeline solves use case still evaluating
75,"We like your product, but CompetitorZ offers better AI engine. The analytics looks great, but the discount is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","['Competition', 'Objection', 'Pricing Discussion']",like product competitorz offer better ai engine analytics look great discount high im sure data pipeline solves use case still evaluating
76,Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.,"['Objection', 'Security']",solution soc certified team concerned compliance im sure analytics solves use case still evaluating
77,"We like your product, but TechCorp offers better data pipeline. I’m not sure if automation solves our use case. We’re still evaluating.","['Competition', 'Objection']",like product techcorp offer better data pipeline im sure automation solves use case still evaluating
78,Is your solution encryption? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.,"['Objection', 'Security']",solution encryption team concerned compliance im sure automation solves use case still evaluating
79,"The analytics looks great, but the budget is too high.",['Pricing Discussion'],analytics look great budget high
80,"We like your product, but TechCorp offers better data pipeline. The automation looks great, but the discount is too high. Is your solution privacy policy? Our team is concerned about compliance.","['Competition', 'Security', 'Pricing Discussion']",like product techcorp offer better data pipeline automation look great discount high solution privacy policy team concerned compliance
81,"The remote monitoring looks great, but the budget is too high. I’m not sure if AI engine solves our use case. We’re still evaluating.","['Objection', 'Pricing Discussion']",remote monitoring look great budget high im sure ai engine solves use case still evaluating
82,"The automation looks great, but the budget is too high. I’m not sure if AI engine solves our use case. We’re still evaluating.","['Objection', 'Pricing Discussion']",automation look great budget high im sure ai engine solves use case still evaluating
83,"The analytics looks great, but the discount is too high. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","['Objection', 'Security', 'Pricing Discussion']",analytics look great discount high solution soc certified team concerned compliance im sure remote monitoring solves use case still evaluating
84,I’m not sure if automation solves our use case. We’re still evaluating.,['Objection'],im sure automation solves use case still evaluating
85,Is your solution encryption? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.,"['Objection', 'Security']",solution encryption team concerned compliance im sure ai engine solves use case still evaluating
86,Is your solution privacy policy? Our team is concerned about compliance.,['Security'],solution privacy policy team concerned compliance
87,Is your solution data compliance? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.,"['Objection', 'Security']",solution data compliance team concerned compliance im sure analytics solves use case still evaluating
88,Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.,"['Objection', 'Security']",solution privacy policy team concerned compliance im sure data pipeline solves use case still evaluating
89,"The remote monitoring looks great, but the pricing model is too high.",['Pricing Discussion'],remote monitoring look great pricing model high
90,"We like your product, but CompetitorZ offers better automation. The automation looks great, but the subscription cost is too high.","['Competition', 'Pricing Discussion']",like product competitorz offer better automation automation look great subscription cost high
91,"We like your product, but MediPlus offers better automation. The data pipeline looks great, but the budget is too high. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection', 'Pricing Discussion']",like product mediplus offer better automation data pipeline look great budget high solution privacy policy team concerned compliance im sure automation solves use case still evaluating
92,"We like your product, but TechCorp offers better analytics.",['Competition'],like product techcorp offer better analytics
93,I’m not sure if analytics solves our use case. We’re still evaluating.,['Objection'],im sure analytics solves use case still evaluating
94,"We like your product, but CompetitorZ offers better analytics.",['Competition'],like product competitorz offer better analytics
95,I’m not sure if AI engine solves our use case. We’re still evaluating.,['Objection'],im sure ai engine solves use case still evaluating
96,Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.,"['Objection', 'Security']",solution soc certified team concerned compliance im sure data pipeline solves use case still evaluating
97,"We like your product, but CompetitorY offers better remote monitoring. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","['Competition', 'Objection']",like product competitory offer better remote monitoring im sure remote monitoring solves use case still evaluating
98,"The analytics looks great, but the discount is too high. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.","['Objection', 'Security', 'Pricing Discussion']",analytics look great discount high solution data compliance team concerned compliance im sure automation solves use case still evaluating
99,I’m not sure if analytics solves our use case. We’re still evaluating.,['Objection'],im sure analytics solves use case still evaluating
100,"We like your product, but MediPlus offers better remote monitoring. Is your solution privacy policy? Our team is concerned about compliance.","['Competition', 'Security']",like product mediplus offer better remote monitoring solution privacy policy team concerned compliance
101,"We like your product, but CompetitorX offers better data pipeline. I’m not sure if data pipeline solves our use case. We’re still evaluating.","['Competition', 'Objection']",like product competitorx offer better data pipeline im sure data pipeline solves use case still evaluating
102,"The automation looks great, but the budget is too high. Is your solution encryption? Our team is concerned about compliance.","['Security', 'Pricing Discussion']",automation look great budget high solution encryption team concerned compliance
103,"We like your product, but MediPlus offers better AI engine. The automation looks great, but the subscription cost is too high. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection', 'Pricing Discussion']",like product mediplus offer better ai engine automation look great subscription cost high solution data compliance team concerned compliance im sure data pipeline solves use case still evaluating
104,"The AI engine looks great, but the subscription cost is too high. Is your solution privacy policy? Our team is concerned about compliance.","['Security', 'Pricing Discussion']",ai engine look great subscription cost high solution privacy policy team concerned compliance
105,"The AI engine looks great, but the budget is too high. Is your solution privacy policy? Our team is concerned about compliance.","['Security', 'Pricing Discussion']",ai engine look great budget high solution privacy policy team concerned compliance
106,"We like your product, but CompetitorX offers better AI engine. The analytics looks great, but the subscription cost is too high.","['Competition', 'Pricing Discussion']",like product competitorx offer better ai engine analytics look great subscription cost high
107,"We like your product, but TechCorp offers better analytics. The data pipeline looks great, but the subscription cost is too high. Is your solution privacy policy? Our team is concerned about compliance.","['Competition', 'Security', 'Pricing Discussion']",like product techcorp offer better analytics data pipeline look great subscription cost high solution privacy policy team concerned compliance
108,"The AI engine looks great, but the pricing model is too high. I’m not sure if automation solves our use case. We’re still evaluating.","['Objection', 'Pricing Discussion']",ai engine look great pricing model high im sure automation solves use case still evaluating
109,Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.,"['Objection', 'Security']",solution soc certified team concerned compliance im sure data pipeline solves use case still evaluating
110,"We like your product, but CompetitorX offers better AI engine. The remote monitoring looks great, but the discount is too high. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection', 'Pricing Discussion']",like product competitorx offer better ai engine remote monitoring look great discount high solution data compliance team concerned compliance im sure ai engine solves use case still evaluating
111,"We like your product, but TechCorp offers better analytics. I’m not sure if data pipeline solves our use case. We’re still evaluating.","['Competition', 'Objection']",like product techcorp offer better analytics im sure data pipeline solves use case still evaluating
112,"The automation looks great, but the pricing model is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","['Objection', 'Security', 'Pricing Discussion']",automation look great pricing model high solution encryption team concerned compliance im sure data pipeline solves use case still evaluating
113,"The automation looks great, but the budget is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","['Objection', 'Pricing Discussion']",automation look great budget high im sure data pipeline solves use case still evaluating
114,"We like your product, but CompetitorY offers better AI engine. The AI engine looks great, but the pricing model is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","['Competition', 'Objection', 'Pricing Discussion']",like product competitory offer better ai engine ai engine look great pricing model high im sure data pipeline solves use case still evaluating
115,"We like your product, but CompetitorY offers better data pipeline. I’m not sure if analytics solves our use case. We’re still evaluating.","['Competition', 'Objection']",like product competitory offer better data pipeline im sure analytics solves use case still evaluating
116,"The AI engine looks great, but the discount is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","['Objection', 'Pricing Discussion']",ai engine look great discount high im sure data pipeline solves use case still evaluating
117,"We like your product, but CompetitorZ offers better data pipeline. The automation looks great, but the discount is too high. Is your solution SOC2 certified? Our team is concerned about compliance.","['Competition', 'Security', 'Pricing Discussion']",like product competitorz offer better data pipeline automation look great discount high solution soc certified team concerned compliance
118,"The AI engine looks great, but the budget is too high. Is your solution SOC2 certified? Our team is concerned about compliance.","['Security', 'Pricing Discussion']",ai engine look great budget high solution soc certified team concerned compliance
119,"We like your product, but TechCorp offers better data pipeline. Is your solution SOC2 certified? Our team is concerned about compliance.","['Competition', 'Security']",like product techcorp offer better data pipeline solution soc certified team concerned compliance
120,"We like your product, but CompetitorX offers better remote monitoring. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection']",like product competitorx offer better remote monitoring solution data compliance team concerned compliance im sure data pipeline solves use case still evaluating
121,"The analytics looks great, but the budget is too high. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","['Objection', 'Pricing Discussion']",analytics look great budget high im sure remote monitoring solves use case still evaluating
122,I’m not sure if AI engine solves our use case. We’re still evaluating.,['Objection'],im sure ai engine solves use case still evaluating
123,"We like your product, but MediPlus offers better automation. Is your solution encryption? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection']",like product mediplus offer better automation solution encryption team concerned compliance im sure ai engine solves use case still evaluating
124,"We like your product, but CompetitorY offers better analytics. The automation looks great, but the discount is too high. Is your solution encryption? Our team is concerned about compliance.","['Competition', 'Security', 'Pricing Discussion']",like product competitory offer better analytics automation look great discount high solution encryption team concerned compliance
125,"We like your product, but CompetitorZ offers better remote monitoring. The data pipeline looks great, but the pricing model is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","['Competition', 'Objection', 'Pricing Discussion']",like product competitorz offer better remote monitoring data pipeline look great pricing model high im sure data pipeline solves use case still evaluating
126,I’m not sure if analytics solves our use case. We’re still evaluating.,['Objection'],im sure analytics solves use case still evaluating
127,Is your solution encryption? Our team is concerned about compliance.,['Security'],solution encryption team concerned compliance
128,"We like your product, but CompetitorX offers better AI engine. The remote monitoring looks great, but the budget is too high.","['Competition', 'Pricing Discussion']",like product competitorx offer better ai engine remote monitoring look great budget high
129,"We like your product, but CompetitorX offers better analytics. The AI engine looks great, but the pricing model is too high.","['Competition', 'Pricing Discussion']",like product competitorx offer better analytics ai engine look great pricing model high
130,I’m not sure if AI engine solves our use case. We’re still evaluating.,['Objection'],im sure ai engine solves use case still evaluating
131,"The data pipeline looks great, but the subscription cost is too high. I’m not sure if AI engine solves our use case. We’re still evaluating.","['Objection', 'Pricing Discussion']",data pipeline look great subscription cost high im sure ai engine solves use case still evaluating
132,I’m not sure if remote monitoring solves our use case. We’re still evaluating.,['Objection'],im sure remote monitoring solves use case still evaluating
133,"We like your product, but MediPlus offers better analytics. The data pipeline looks great, but the discount is too high. Is your solution privacy policy? Our team is concerned about compliance.","['Competition', 'Security', 'Pricing Discussion']",like product mediplus offer better analytics data pipeline look great discount high solution privacy policy team concerned compliance
134,"We like your product, but TechCorp offers better analytics. The automation looks great, but the subscription cost is too high. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","['Competition', 'Objection', 'Pricing Discussion']",like product techcorp offer better analytics automation look great subscription cost high im sure remote monitoring solves use case still evaluating
135,"We like your product, but TechCorp offers better automation.",['Competition'],like product techcorp offer better automation
136,"We like your product, but CompetitorZ offers better remote monitoring. The analytics looks great, but the discount is too high.","['Competition', 'Pricing Discussion']",like product competitorz offer better remote monitoring analytics look great discount high
137,"We like your product, but CompetitorY offers better AI engine. The AI engine looks great, but the discount is too high. Is your solution SOC2 certified? Our team is concerned about compliance.","['Competition', 'Security', 'Pricing Discussion']",like product competitory offer better ai engine ai engine look great discount high solution soc certified team concerned compliance
138,"We like your product, but CompetitorX offers better data pipeline. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection']",like product competitorx offer better data pipeline solution soc certified team concerned compliance im sure ai engine solves use case still evaluating
139,"We like your product, but CompetitorX offers better data pipeline. The automation looks great, but the budget is too high. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","['Competition', 'Objection', 'Pricing Discussion']",like product competitorx offer better data pipeline automation look great budget high im sure remote monitoring solves use case still evaluating
140,"We like your product, but CompetitorY offers better AI engine. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection']",like product competitory offer better ai engine solution soc certified team concerned compliance im sure remote monitoring solves use case still evaluating
141,"We like your product, but MediPlus offers better AI engine.",['Competition'],like product mediplus offer better ai engine
142,I’m not sure if remote monitoring solves our use case. We’re still evaluating.,['Objection'],im sure remote monitoring solves use case still evaluating
143,I’m not sure if AI engine solves our use case. We’re still evaluating.,['Objection'],im sure ai engine solves use case still evaluating
144,"The AI engine looks great, but the budget is too high. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","['Objection', 'Security', 'Pricing Discussion']",ai engine look great budget high solution privacy policy team concerned compliance im sure remote monitoring solves use case still evaluating
145,Is your solution encryption? Our team is concerned about compliance.,['Security'],solution encryption team concerned compliance
146,"We like your product, but CompetitorZ offers better remote monitoring. Is your solution encryption? Our team is concerned about compliance.","['Competition', 'Security']",like product competitorz offer better remote monitoring solution encryption team concerned compliance
147,Is your solution SOC2 certified? Our team is concerned about compliance.,['Security'],solution soc certified team concerned compliance
148,"We like your product, but MediPlus offers better remote monitoring. The data pipeline looks great, but the pricing model is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection', 'Pricing Discussion']",like product mediplus offer better remote monitoring data pipeline look great pricing model high solution encryption team concerned compliance im sure remote monitoring solves use case still evaluating
149,I’m not sure if remote monitoring solves our use case. We’re still evaluating.,['Objection'],im sure remote monitoring solves use case still evaluating
150,"We like your product, but CompetitorY offers better data pipeline. Is your solution SOC2 certified? Our team is concerned about compliance.","['Competition', 'Security']",like product competitory offer better data pipeline solution soc certified team concerned compliance
151,"The automation looks great, but the subscription cost is too high. I’m not sure if automation solves our use case. We’re still evaluating.","['Objection', 'Pricing Discussion']",automation look great subscription cost high im sure automation solves use case still evaluating
152,"We like your product, but CompetitorZ offers better automation. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection']",like product competitorz offer better automation solution data compliance team concerned compliance im sure analytics solves use case still evaluating
153,I’m not sure if data pipeline solves our use case. We’re still evaluating.,['Objection'],im sure data pipeline solves use case still evaluating
154,"The data pipeline looks great, but the budget is too high. I’m not sure if AI engine solves our use case. We’re still evaluating.","['Objection', 'Pricing Discussion']",data pipeline look great budget high im sure ai engine solves use case still evaluating
155,"The automation looks great, but the discount is too high.",['Pricing Discussion'],automation look great discount high
