id,text_snippet,labels
59,"We like your product, but CompetitorZ offers better analytics.",Competition
60,"We like your product, but TechCorp offers better remote monitoring. The AI engine looks great, but the subscription cost is too high. Is your solution data compliance? Our team is concerned about compliance.","Competition, Security, Pricing Discussion"
61,"We like your product, but TechCorp offers better AI engine. The data pipeline looks great, but the subscription cost is too high. I’m not sure if AI engine solves our use case. We’re still evaluating.","Competition, Objection, Pricing Discussion"
62,"We like your product, but TechCorp offers better AI engine. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Competition, Security, Objection"
63,"We like your product, but CompetitorZ offers better analytics. The analytics looks great, but the pricing model is too high.","Competition, Pricing Discussion"
64,Is your solution encryption? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.,"Objection, Security"
65,"We like your product, but TechCorp offers better remote monitoring. The remote monitoring looks great, but the subscription cost is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Competition, Objection, Pricing Discussion"
66,"We like your product, but CompetitorY offers better automation.",Competition
67,"We like your product, but CompetitorX offers better automation. Is your solution data compliance? Our team is concerned about compliance.","Competition, Security"
68,"The analytics looks great, but the budget is too high.",Pricing Discussion
69,"We like your product, but TechCorp offers better automation.",Competition
70,"The data pipeline looks great, but the discount is too high.",Pricing Discussion
71,"We like your product, but CompetitorX offers better data pipeline. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Competition, Objection"
72,Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.,"Objection, Security"
73,"The AI engine looks great, but the subscription cost is too high.",Pricing Discussion
74,"We like your product, but MediPlus offers better automation. The data pipeline looks great, but the subscription cost is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Competition, Objection, Pricing Discussion"
75,"We like your product, but CompetitorZ offers better AI engine. The analytics looks great, but the discount is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Competition, Objection, Pricing Discussion"
76,Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.,"Objection, Security"
77,"We like your product, but TechCorp offers better data pipeline. I’m not sure if automation solves our use case. We’re still evaluating.","Competition, Objection"
78,Is your solution encryption? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.,"Objection, Security"
79,"The analytics looks great, but the budget is too high.",Pricing Discussion
80,"We like your product, but TechCorp offers better data pipeline. The automation looks great, but the discount is too high. Is your solution privacy policy? Our team is concerned about compliance.","Competition, Security, Pricing Discussion"
81,"The remote monitoring looks great, but the budget is too high. I’m not sure if AI engine solves our use case. We’re still evaluating.","Objection, Pricing Discussion"
82,"The automation looks great, but the budget is too high. I’m not sure if AI engine solves our use case. We’re still evaluating.","Objection, Pricing Discussion"
83,"The analytics looks great, but the discount is too high. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion"
84,I’m not sure if automation solves our use case. We’re still evaluating.,Objection
85,Is your solution encryption? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.,"Objection, Security"
86,Is your solution privacy policy? Our team is concerned about compliance.,Security
87,Is your solution data compliance? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.,"Objection, Security"
88,Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.,"Objection, Security"
89,"The remote monitoring looks great, but the pricing model is too high.",Pricing Discussion
90,"We like your product, but CompetitorZ offers better automation. The automation looks great, but the subscription cost is too high.","Competition, Pricing Discussion"
91,"We like your product, but MediPlus offers better automation. The data pipeline looks great, but the budget is too high. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.","Competition, Security, Objection, Pricing Discussion"
92,"We like your product, but TechCorp offers better analytics.",Competition
93,I’m not sure if analytics solves our use case. We’re still evaluating.,Objection
94,"We like your product, but CompetitorZ offers better analytics.",Competition
95,I’m not sure if AI engine solves our use case. We’re still evaluating.,Objection
96,Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.,"Objection, Security"
97,"We like your product, but CompetitorY offers better remote monitoring. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Competition, Objection"
98,"The analytics looks great, but the discount is too high. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion"
99,I’m not sure if analytics solves our use case. We’re still evaluating.,Objection
100,"We like your product, but MediPlus offers better remote monitoring. Is your solution privacy policy? Our team is concerned about compliance.","Competition, Security"
101,"We like your product, but CompetitorX offers better data pipeline. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Competition, Objection"
102,"The automation looks great, but the budget is too high. Is your solution encryption? Our team is concerned about compliance.","Security, Pricing Discussion"
103,"We like your product, but MediPlus offers better AI engine. The automation looks great, but the subscription cost is too high. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Competition, Security, Objection, Pricing Discussion"
104,"The AI engine looks great, but the subscription cost is too high. Is your solution privacy policy? Our team is concerned about compliance.","Security, Pricing Discussion"
105,"The AI engine looks great, but the budget is too high. Is your solution privacy policy? Our team is concerned about compliance.","Security, Pricing Discussion"
106,"We like your product, but CompetitorX offers better AI engine. The analytics looks great, but the subscription cost is too high.","Competition, Pricing Discussion"
107,"We like your product, but TechCorp offers better analytics. The data pipeline looks great, but the subscription cost is too high. Is your solution privacy policy? Our team is concerned about compliance.","Competition, Security, Pricing Discussion"
108,"The AI engine looks great, but the pricing model is too high. I’m not sure if automation solves our use case. We’re still evaluating.","Objection, Pricing Discussion"
109,Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.,"Objection, Security"
110,"We like your product, but CompetitorX offers better AI engine. The remote monitoring looks great, but the discount is too high. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.","Competition, Security, Objection, Pricing Discussion"
111,"We like your product, but TechCorp offers better analytics. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Competition, Objection"
112,"The automation looks great, but the pricing model is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion"
113,"The automation looks great, but the budget is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Objection, Pricing Discussion"
114,"We like your product, but CompetitorY offers better AI engine. The AI engine looks great, but the pricing model is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Competition, Objection, Pricing Discussion"
115,"We like your product, but CompetitorY offers better data pipeline. I’m not sure if analytics solves our use case. We’re still evaluating.","Competition, Objection"
116,"The AI engine looks great, but the discount is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Objection, Pricing Discussion"
117,"We like your product, but CompetitorZ offers better data pipeline. The automation looks great, but the discount is too high. Is your solution SOC2 certified? Our team is concerned about compliance.","Competition, Security, Pricing Discussion"
118,"The AI engine looks great, but the budget is too high. Is your solution SOC2 certified? Our team is concerned about compliance.","Security, Pricing Discussion"
119,"We like your product, but TechCorp offers better data pipeline. Is your solution SOC2 certified? Our team is concerned about compliance.","Competition, Security"
120,"We like your product, but CompetitorX offers better remote monitoring. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Competition, Security, Objection"
121,"The analytics looks great, but the budget is too high. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Objection, Pricing Discussion"
122,I’m not sure if AI engine solves our use case. We’re still evaluating.,Objection
123,"We like your product, but MediPlus offers better automation. Is your solution encryption? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.","Competition, Security, Objection"
124,"We like your product, but CompetitorY offers better analytics. The automation looks great, but the discount is too high. Is your solution encryption? Our team is concerned about compliance.","Competition, Security, Pricing Discussion"
125,"We like your product, but CompetitorZ offers better remote monitoring. The data pipeline looks great, but the pricing model is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Competition, Objection, Pricing Discussion"
126,I’m not sure if analytics solves our use case. We’re still evaluating.,Objection
127,Is your solution encryption? Our team is concerned about compliance.,Security
128,"We like your product, but CompetitorX offers better AI engine. The remote monitoring looks great, but the budget is too high.","Competition, Pricing Discussion"
129,"We like your product, but CompetitorX offers better analytics. The AI engine looks great, but the pricing model is too high.","Competition, Pricing Discussion"
130,I’m not sure if AI engine solves our use case. We’re still evaluating.,Objection
131,"The data pipeline looks great, but the subscription cost is too high. I’m not sure if AI engine solves our use case. We’re still evaluating.","Objection, Pricing Discussion"
132,I’m not sure if remote monitoring solves our use case. We’re still evaluating.,Objection
133,"We like your product, but MediPlus offers better analytics. The data pipeline looks great, but the discount is too high. Is your solution privacy policy? Our team is concerned about compliance.","Competition, Security, Pricing Discussion"
134,"We like your product, but TechCorp offers better analytics. The automation looks great, but the subscription cost is too high. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Competition, Objection, Pricing Discussion"
135,"We like your product, but TechCorp offers better automation.",Competition
136,"We like your product, but CompetitorZ offers better remote monitoring. The analytics looks great, but the discount is too high.","Competition, Pricing Discussion"
137,"We like your product, but CompetitorY offers better AI engine. The AI engine looks great, but the discount is too high. Is your solution SOC2 certified? Our team is concerned about compliance.","Competition, Security, Pricing Discussion"
138,"We like your product, but CompetitorX offers better data pipeline. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.","Competition, Security, Objection"
139,"We like your product, but CompetitorX offers better data pipeline. The automation looks great, but the budget is too high. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Competition, Objection, Pricing Discussion"
140,"We like your product, but CompetitorY offers better AI engine. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Competition, Security, Objection"
141,"We like your product, but MediPlus offers better AI engine.",Competition
142,I’m not sure if remote monitoring solves our use case. We’re still evaluating.,Objection
143,I’m not sure if AI engine solves our use case. We’re still evaluating.,Objection
144,"The AI engine looks great, but the budget is too high. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion"
145,Is your solution encryption? Our team is concerned about compliance.,Security
146,"We like your product, but CompetitorZ offers better remote monitoring. Is your solution encryption? Our team is concerned about compliance.","Competition, Security"
147,Is your solution SOC2 certified? Our team is concerned about compliance.,Security
148,"We like your product, but MediPlus offers better remote monitoring. The data pipeline looks great, but the pricing model is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Competition, Security, Objection, Pricing Discussion"
149,I’m not sure if remote monitoring solves our use case. We’re still evaluating.,Objection
150,"We like your product, but CompetitorY offers better data pipeline. Is your solution SOC2 certified? Our team is concerned about compliance.","Competition, Security"
151,"The automation looks great, but the subscription cost is too high. I’m not sure if automation solves our use case. We’re still evaluating.","Objection, Pricing Discussion"
152,"We like your product, but CompetitorZ offers better automation. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.","Competition, Security, Objection"
153,I’m not sure if data pipeline solves our use case. We’re still evaluating.,Objection
154,"The data pipeline looks great, but the budget is too high. I’m not sure if AI engine solves our use case. We’re still evaluating.","Objection, Pricing Discussion"
155,"The automation looks great, but the discount is too high.",Pricing Discussion
156,"We like your product, but CompetitorY offers better automation. I’m not sure if analytics solves our use case. We’re still evaluating.","Competition, Objection"
157,"The AI engine looks great, but the budget is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Objection, Pricing Discussion"
158,Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.,"Objection, Security"
159,"We like your product, but CompetitorY offers better data pipeline. The automation looks great, but the budget is too high.","Competition, Pricing Discussion"
160,"The automation looks great, but the discount is too high. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion"
161,"We like your product, but MediPlus offers better AI engine. The data pipeline looks great, but the pricing model is too high.","Competition, Pricing Discussion"
162,"We like your product, but TechCorp offers better remote monitoring. The AI engine looks great, but the subscription cost is too high. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Competition, Objection, Pricing Discussion"
163,"We like your product, but MediPlus offers better AI engine. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.","Competition, Security, Objection"
164,I’m not sure if AI engine solves our use case. We’re still evaluating.,Objection
165,"We like your product, but MediPlus offers better remote monitoring. The data pipeline looks great, but the discount is too high. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.","Competition, Security, Objection, Pricing Discussion"
166,Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.,"Objection, Security"
167,"The AI engine looks great, but the budget is too high. Is your solution SOC2 certified? Our team is concerned about compliance.","Security, Pricing Discussion"
168,"We like your product, but MediPlus offers better data pipeline. The AI engine looks great, but the pricing model is too high. Is your solution SOC2 certified? Our team is concerned about compliance.","Competition, Security, Pricing Discussion"
169,"We like your product, but CompetitorX offers better analytics. The analytics looks great, but the pricing model is too high.","Competition, Pricing Discussion"
170,I’m not sure if data pipeline solves our use case. We’re still evaluating.,Objection
171,"We like your product, but CompetitorY offers better analytics. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.","Competition, Security, Objection"
172,"The AI engine looks great, but the budget is too high. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion"
173,"We like your product, but MediPlus offers better AI engine. The automation looks great, but the budget is too high.","Competition, Pricing Discussion"
174,Is your solution privacy policy? Our team is concerned about compliance.,Security
175,Is your solution encryption? Our team is concerned about compliance.,Security
176,"We like your product, but MediPlus offers better data pipeline. The remote monitoring looks great, but the discount is too high. I’m not sure if automation solves our use case. We’re still evaluating.","Competition, Objection, Pricing Discussion"
177,Is your solution data compliance? Our team is concerned about compliance.,Security
178,"We like your product, but TechCorp offers better AI engine. Is your solution SOC2 certified? Our team is concerned about compliance.","Competition, Security"
179,"The automation looks great, but the discount is too high.",Pricing Discussion
180,"We like your product, but CompetitorX offers better data pipeline. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.","Competition, Security, Objection"
181,Is your solution data compliance? Our team is concerned about compliance.,Security
182,"The remote monitoring looks great, but the discount is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Objection, Pricing Discussion"
183,"The data pipeline looks great, but the budget is too high. I’m not sure if automation solves our use case. We’re still evaluating.","Objection, Pricing Discussion"
184,Is your solution encryption? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.,"Objection, Security"
185,"The AI engine looks great, but the budget is too high. Is your solution data compliance? Our team is concerned about compliance.","Security, Pricing Discussion"
186,Is your solution data compliance? Our team is concerned about compliance.,Security
187,"We like your product, but MediPlus offers better analytics. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Competition, Security, Objection"
188,"We like your product, but CompetitorZ offers better remote monitoring. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Competition, Security, Objection"
189,"We like your product, but CompetitorX offers better remote monitoring. The automation looks great, but the discount is too high. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Competition, Objection, Pricing Discussion"
190,"The AI engine looks great, but the discount is too high. I’m not sure if automation solves our use case. We’re still evaluating.","Objection, Pricing Discussion"
191,"We like your product, but CompetitorZ offers better data pipeline. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Competition, Objection"
192,"We like your product, but CompetitorZ offers better remote monitoring. The automation looks great, but the budget is too high. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.","Competition, Security, Objection, Pricing Discussion"
193,"We like your product, but CompetitorX offers better data pipeline. The automation looks great, but the pricing model is too high. I’m not sure if automation solves our use case. We’re still evaluating.","Competition, Objection, Pricing Discussion"
194,"We like your product, but MediPlus offers better analytics. The remote monitoring looks great, but the discount is too high. Is your solution privacy policy? Our team is concerned about compliance.","Competition, Security, Pricing Discussion"
195,"The automation looks great, but the discount is too high. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Objection, Pricing Discussion"
196,"We like your product, but CompetitorZ offers better AI engine. Is your solution data compliance? Our team is concerned about compliance.","Competition, Security"
197,"The automation looks great, but the subscription cost is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion"
198,I’m not sure if automation solves our use case. We’re still evaluating.,Objection
199,"The AI engine looks great, but the budget is too high.",Pricing Discussion
200,"We like your product, but CompetitorY offers better data pipeline. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Competition, Security, Objection"
201,"We like your product, but TechCorp offers better analytics. The automation looks great, but the budget is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Competition, Objection, Pricing Discussion"
202,"The data pipeline looks great, but the discount is too high. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion"
203,"We like your product, but TechCorp offers better analytics. The remote monitoring looks great, but the pricing model is too high. Is your solution encryption? Our team is concerned about compliance.","Competition, Security, Pricing Discussion"
204,"We like your product, but CompetitorX offers better data pipeline. The data pipeline looks great, but the subscription cost is too high. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.","Competition, Security, Objection, Pricing Discussion"
205,"We like your product, but MediPlus offers better AI engine. The remote monitoring looks great, but the budget is too high. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.","Competition, Security, Objection, Pricing Discussion"
206,"We like your product, but CompetitorY offers better automation. Is your solution encryption? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Competition, Security, Objection"
207,"We like your product, but CompetitorX offers better analytics. I’m not sure if analytics solves our use case. We’re still evaluating.","Competition, Objection"
208,"The analytics looks great, but the budget is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion"
209,"We like your product, but CompetitorY offers better data pipeline. Is your solution privacy policy? Our team is concerned about compliance.","Competition, Security"
210,"We like your product, but CompetitorZ offers better remote monitoring. Is your solution SOC2 certified? Our team is concerned about compliance.","Competition, Security"
211,"The automation looks great, but the subscription cost is too high.",Pricing Discussion
212,"The data pipeline looks great, but the subscription cost is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion"
213,I’m not sure if AI engine solves our use case. We’re still evaluating.,Objection
214,"We like your product, but TechCorp offers better analytics. The automation looks great, but the discount is too high. Is your solution privacy policy? Our team is concerned about compliance.","Competition, Security, Pricing Discussion"
215,"We like your product, but CompetitorZ offers better AI engine. The data pipeline looks great, but the subscription cost is too high. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Competition, Security, Objection, Pricing Discussion"
216,"We like your product, but MediPlus offers better data pipeline. The automation looks great, but the subscription cost is too high. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Competition, Security, Objection, Pricing Discussion"
217,I’m not sure if remote monitoring solves our use case. We’re still evaluating.,Objection
218,"We like your product, but CompetitorY offers better analytics. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Competition, Security, Objection"
219,"The analytics looks great, but the budget is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion"
220,"The AI engine looks great, but the budget is too high.",Pricing Discussion
221,"We like your product, but CompetitorZ offers better remote monitoring. Is your solution encryption? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Competition, Security, Objection"
222,"We like your product, but CompetitorY offers better remote monitoring. The data pipeline looks great, but the subscription cost is too high.","Competition, Pricing Discussion"
223,"We like your product, but CompetitorZ offers better AI engine. The remote monitoring looks great, but the pricing model is too high. Is your solution data compliance? Our team is concerned about compliance.","Competition, Security, Pricing Discussion"
224,"We like your product, but MediPlus offers better remote monitoring. The analytics looks great, but the discount is too high.","Competition, Pricing Discussion"
225,Is your solution SOC2 certified? Our team is concerned about compliance.,Security
226,Is your solution encryption? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.,"Objection, Security"
227,"The automation looks great, but the budget is too high.",Pricing Discussion
228,"We like your product, but CompetitorY offers better data pipeline. Is your solution SOC2 certified? Our team is concerned about compliance.","Competition, Security"
