id,text_snippet,labels,extracted_entities
49,"We like your product, but CompetitorX offers better automation. The analytics looks great, but the discount is too high. Is your solution data compliance? Our team is concerned about compliance.","Security, Competition, Pricing Discussion","{'competitors': ['CompetitorX'], 'features': ['analytics', 'automation'], 'pricing_keywords': ['discount'], 'security_keywords': ['data compliance'], 'other_entities': []}"
50,"We like your product, but CompetitorY offers better analytics. The AI engine looks great, but the pricing model is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Objection, Security, Competition, Pricing Discussion","{'competitors': ['CompetitorY'], 'features': ['analytics', 'remote monitoring', 'AI engine'], 'pricing_keywords': ['pricing model'], 'security_keywords': ['encryption'], 'other_entities': []}"
51,"We like your product, but CompetitorZ offers better data pipeline.",Competition,"{'competitors': ['CompetitorZ'], 'features': ['data pipeline'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
52,"We like your product, but CompetitorX offers better remote monitoring. The data pipeline looks great, but the pricing model is too high.","Competition, Pricing Discussion","{'competitors': ['CompetitorX'], 'features': ['remote monitoring', 'data pipeline'], 'pricing_keywords': ['pricing model'], 'security_keywords': [], 'other_entities': []}"
53,Is your solution encryption? Our team is concerned about compliance.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': [], 'security_keywords': ['encryption'], 'other_entities': []}"
54,"We like your product, but TechCorp offers better AI engine. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Objection, Competition","{'competitors': ['TechCorp'], 'features': ['AI engine', 'data pipeline'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
55,"We like your product, but MediPlus offers better analytics. Is your solution encryption? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.","Objection, Security, Competition","{'competitors': ['MediPlus'], 'features': ['analytics', 'automation'], 'pricing_keywords': [], 'security_keywords': ['encryption'], 'other_entities': []}"
56,"We like your product, but CompetitorX offers better analytics. The data pipeline looks great, but the subscription cost is too high.",rand,"{'competitors': ['CompetitorX'], 'features': ['analytics', 'data pipeline'], 'pricing_keywords': ['subscription cost'], 'security_keywords': [], 'other_entities': []}"
57,"The analytics looks great, but the subscription cost is too high.",Pricing Discussion,"{'competitors': [], 'features': ['analytics'], 'pricing_keywords': ['subscription cost'], 'security_keywords': [], 'other_entities': []}"
58,"We like your product, but CompetitorZ offers better analytics. The remote monitoring looks great, but the budget is too high.","Competition, Pricing Discussion","{'competitors': ['CompetitorZ'], 'features': ['analytics', 'remote monitoring'], 'pricing_keywords': ['budget'], 'security_keywords': [], 'other_entities': []}"
59,I’m not sure if analytics solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['analytics'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
60,"We like your product, but MediPlus offers better analytics. The analytics looks great, but the subscription cost is too high. Is your solution privacy policy? Our team is concerned about compliance.","Security, Competition, Pricing Discussion","{'competitors': ['MediPlus'], 'features': ['analytics'], 'pricing_keywords': ['subscription cost'], 'security_keywords': ['privacy policy'], 'other_entities': []}"
61,"We like your product, but TechCorp offers better automation. The automation looks great, but the subscription cost is too high. Is your solution data compliance? Our team is concerned about compliance.",rand,"{'competitors': ['TechCorp'], 'features': ['automation'], 'pricing_keywords': ['subscription cost'], 'security_keywords': ['data compliance'], 'other_entities': []}"
62,Is your solution encryption? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.,"Objection, Security","{'competitors': [], 'features': ['data pipeline'], 'pricing_keywords': [], 'security_keywords': ['encryption'], 'other_entities': []}"
63,I’m not sure if AI engine solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['AI engine'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
64,"The automation looks great, but the discount is too high. I’m not sure if analytics solves our use case. We’re still evaluating.","Objection, Pricing Discussion","{'competitors': [], 'features': ['analytics', 'automation'], 'pricing_keywords': ['discount'], 'security_keywords': [], 'other_entities': []}"
65,"We like your product, but TechCorp offers better remote monitoring. The analytics looks great, but the discount is too high. Is your solution SOC2 certified? Our team is concerned about compliance.","Security, Competition, Pricing Discussion","{'competitors': ['TechCorp'], 'features': ['analytics', 'remote monitoring'], 'pricing_keywords': ['discount'], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
66,I’m not sure if remote monitoring solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['remote monitoring'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
67,"The remote monitoring looks great, but the budget is too high.",Pricing Discussion,"{'competitors': [], 'features': ['remote monitoring'], 'pricing_keywords': ['budget'], 'security_keywords': [], 'other_entities': []}"
68,"We like your product, but TechCorp offers better AI engine. The data pipeline looks great, but the pricing model is too high. Is your solution privacy policy? Our team is concerned about compliance.","Security, Competition, Pricing Discussion","{'competitors': ['TechCorp'], 'features': ['AI engine', 'data pipeline'], 'pricing_keywords': ['pricing model'], 'security_keywords': ['privacy policy'], 'other_entities': []}"
69,I’m not sure if automation solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['automation'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
70,"The AI engine looks great, but the budget is too high. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion","{'competitors': [], 'features': ['AI engine', 'automation'], 'pricing_keywords': ['budget'], 'security_keywords': ['data compliance'], 'other_entities': []}"
71,"We like your product, but CompetitorY offers better remote monitoring.",Competition,"{'competitors': ['CompetitorY'], 'features': ['remote monitoring'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
72,"The AI engine looks great, but the subscription cost is too high.",Pricing Discussion,"{'competitors': [], 'features': ['AI engine'], 'pricing_keywords': ['subscription cost'], 'security_keywords': [], 'other_entities': []}"
73,"We like your product, but CompetitorX offers better automation. The analytics looks great, but the discount is too high. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.","Objection, Security, Competition, Pricing Discussion","{'competitors': ['CompetitorX'], 'features': ['analytics', 'automation'], 'pricing_keywords': ['discount'], 'security_keywords': ['data compliance'], 'other_entities': []}"
74,"We like your product, but MediPlus offers better analytics. The analytics looks great, but the pricing model is too high.","Competition, Pricing Discussion","{'competitors': ['MediPlus'], 'features': ['analytics'], 'pricing_keywords': ['pricing model'], 'security_keywords': [], 'other_entities': []}"
75,"We like your product, but CompetitorY offers better data pipeline. The remote monitoring looks great, but the budget is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.",rand,"{'competitors': ['CompetitorY'], 'features': ['AI engine', 'remote monitoring', 'data pipeline'], 'pricing_keywords': ['budget'], 'security_keywords': ['encryption'], 'other_entities': []}"
76,"The automation looks great, but the subscription cost is too high. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion","{'competitors': [], 'features': ['automation'], 'pricing_keywords': ['subscription cost'], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
77,"The AI engine looks great, but the pricing model is too high. Is your solution SOC2 certified? Our team is concerned about compliance.",rand,"{'competitors': [], 'features': ['AI engine'], 'pricing_keywords': ['pricing model'], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
78,"We like your product, but CompetitorY offers better automation. The data pipeline looks great, but the budget is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Objection, Competition, Pricing Discussion","{'competitors': ['CompetitorY'], 'features': ['automation', 'data pipeline'], 'pricing_keywords': ['budget'], 'security_keywords': [], 'other_entities': []}"
79,"We like your product, but TechCorp offers better remote monitoring.",Competition,"{'competitors': ['TechCorp'], 'features': ['remote monitoring'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
80,"We like your product, but MediPlus offers better data pipeline. I’m not sure if automation solves our use case. We’re still evaluating.","Objection, Competition","{'competitors': ['MediPlus'], 'features': ['automation', 'data pipeline'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
81,"We like your product, but CompetitorX offers better automation. The data pipeline looks great, but the discount is too high. Is your solution data compliance? Our team is concerned about compliance.","Security, Competition, Pricing Discussion","{'competitors': ['CompetitorX'], 'features': ['automation', 'data pipeline'], 'pricing_keywords': ['discount'], 'security_keywords': ['data compliance'], 'other_entities': []}"
82,Is your solution SOC2 certified? Our team is concerned about compliance.,rand,"{'competitors': [], 'features': [], 'pricing_keywords': [], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
83,Is your solution SOC2 certified? Our team is concerned about compliance.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': [], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
84,"The remote monitoring looks great, but the subscription cost is too high.",rand,"{'competitors': [], 'features': ['remote monitoring'], 'pricing_keywords': ['subscription cost'], 'security_keywords': [], 'other_entities': []}"
85,I’m not sure if AI engine solves our use case. We’re still evaluating.,rand,"{'competitors': [], 'features': ['AI engine'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
86,I’m not sure if AI engine solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['AI engine'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
87,"We like your product, but MediPlus offers better automation.",Competition,"{'competitors': ['MediPlus'], 'features': ['automation'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
88,"We like your product, but MediPlus offers better automation. I’m not sure if data pipeline solves our use case. We’re still evaluating.",rand,"{'competitors': ['MediPlus'], 'features': ['automation', 'data pipeline'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
89,"We like your product, but MediPlus offers better automation.",Competition,"{'competitors': ['MediPlus'], 'features': ['automation'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
90,I’m not sure if analytics solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['analytics'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
91,"We like your product, but CompetitorZ offers better AI engine. Is your solution encryption? Our team is concerned about compliance.","Security, Competition","{'competitors': ['CompetitorZ'], 'features': ['AI engine'], 'pricing_keywords': [], 'security_keywords': ['encryption'], 'other_entities': []}"
92,"We like your product, but CompetitorZ offers better remote monitoring. The automation looks great, but the subscription cost is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.","Objection, Security, Competition, Pricing Discussion","{'competitors': ['CompetitorZ'], 'features': ['analytics', 'remote monitoring', 'automation'], 'pricing_keywords': ['subscription cost'], 'security_keywords': ['encryption'], 'other_entities': []}"
93,"We like your product, but TechCorp offers better data pipeline. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.","Objection, Security, Competition","{'competitors': ['TechCorp'], 'features': ['AI engine', 'data pipeline'], 'pricing_keywords': [], 'security_keywords': ['privacy policy'], 'other_entities': []}"
94,"We like your product, but TechCorp offers better remote monitoring.",Competition,"{'competitors': ['TechCorp'], 'features': ['remote monitoring'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
95,"We like your product, but CompetitorZ offers better remote monitoring. The data pipeline looks great, but the budget is too high.","Competition, Pricing Discussion","{'competitors': ['CompetitorZ'], 'features': ['remote monitoring', 'data pipeline'], 'pricing_keywords': ['budget'], 'security_keywords': [], 'other_entities': []}"
96,Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.,"Objection, Security","{'competitors': [], 'features': ['AI engine'], 'pricing_keywords': [], 'security_keywords': ['privacy policy'], 'other_entities': []}"
97,Is your solution privacy policy? Our team is concerned about compliance.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': [], 'security_keywords': ['privacy policy'], 'other_entities': []}"
98,"We like your product, but MediPlus offers better automation. The data pipeline looks great, but the discount is too high. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Objection, Competition, Pricing Discussion","{'competitors': ['MediPlus'], 'features': ['remote monitoring', 'automation', 'data pipeline'], 'pricing_keywords': ['discount'], 'security_keywords': [], 'other_entities': []}"
99,"We like your product, but CompetitorZ offers better automation. The analytics looks great, but the discount is too high. I’m not sure if AI engine solves our use case. We’re still evaluating.","Objection, Competition, Pricing Discussion","{'competitors': ['CompetitorZ'], 'features': ['analytics', 'AI engine', 'automation'], 'pricing_keywords': ['discount'], 'security_keywords': [], 'other_entities': []}"
100,"We like your product, but CompetitorZ offers better remote monitoring. The data pipeline looks great, but the pricing model is too high. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Objection, Security, Competition, Pricing Discussion","{'competitors': ['CompetitorZ'], 'features': ['remote monitoring', 'data pipeline'], 'pricing_keywords': ['pricing model'], 'security_keywords': ['data compliance'], 'other_entities': []}"
101,"We like your product, but CompetitorZ offers better remote monitoring. I’m not sure if AI engine solves our use case. We’re still evaluating.","Objection, Competition","{'competitors': ['CompetitorZ'], 'features': ['AI engine', 'remote monitoring'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
102,I’m not sure if automation solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['automation'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
103,"We like your product, but CompetitorX offers better automation. The AI engine looks great, but the discount is too high. I’m not sure if AI engine solves our use case. We’re still evaluating.",rand,"{'competitors': ['CompetitorX'], 'features': ['AI engine', 'automation'], 'pricing_keywords': ['discount'], 'security_keywords': [], 'other_entities': []}"
104,"We like your product, but TechCorp offers better AI engine. The analytics looks great, but the subscription cost is too high.","Competition, Pricing Discussion","{'competitors': ['TechCorp'], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['subscription cost'], 'security_keywords': [], 'other_entities': []}"
105,"The remote monitoring looks great, but the subscription cost is too high.",Pricing Discussion,"{'competitors': [], 'features': ['remote monitoring'], 'pricing_keywords': ['subscription cost'], 'security_keywords': [], 'other_entities': []}"
106,"We like your product, but TechCorp offers better analytics.",Competition,"{'competitors': ['TechCorp'], 'features': ['analytics'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
107,"The AI engine looks great, but the pricing model is too high. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion","{'competitors': [], 'features': ['AI engine', 'remote monitoring'], 'pricing_keywords': ['pricing model'], 'security_keywords': ['privacy policy'], 'other_entities': []}"
108,Is your solution encryption? Our team is concerned about compliance.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': [], 'security_keywords': ['encryption'], 'other_entities': []}"
109,"We like your product, but CompetitorZ offers better remote monitoring. The remote monitoring looks great, but the discount is too high. Is your solution privacy policy? Our team is concerned about compliance.","Security, Competition, Pricing Discussion","{'competitors': ['CompetitorZ'], 'features': ['remote monitoring'], 'pricing_keywords': ['discount'], 'security_keywords': ['privacy policy'], 'other_entities': []}"
110,"The analytics looks great, but the pricing model is too high. I’m not sure if AI engine solves our use case. We’re still evaluating.","Objection, Pricing Discussion","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['pricing model'], 'security_keywords': [], 'other_entities': []}"
111,"The AI engine looks great, but the subscription cost is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion","{'competitors': [], 'features': ['AI engine', 'automation'], 'pricing_keywords': ['subscription cost'], 'security_keywords': ['encryption'], 'other_entities': []}"
112,"We like your product, but CompetitorZ offers better remote monitoring. Is your solution encryption? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.","Objection, Security, Competition","{'competitors': ['CompetitorZ'], 'features': ['AI engine', 'remote monitoring'], 'pricing_keywords': [], 'security_keywords': ['encryption'], 'other_entities': []}"
113,"We like your product, but CompetitorZ offers better analytics. The remote monitoring looks great, but the budget is too high. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Objection, Security, Competition, Pricing Discussion","{'competitors': ['CompetitorZ'], 'features': ['analytics', 'remote monitoring', 'data pipeline'], 'pricing_keywords': ['budget'], 'security_keywords': ['data compliance'], 'other_entities': []}"
114,Is your solution encryption? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.,"Objection, Security","{'competitors': [], 'features': ['data pipeline'], 'pricing_keywords': [], 'security_keywords': ['encryption'], 'other_entities': []}"
